hsid			seniors	lowgradelevel													algebra3	math4	precalculus	calculus	probability	trigonometry	analytical	solidgeo								
106017	3	1500	375	9	12	4	2	10	4	1	3	3	2	3	0	4	1	0	1	1	1	1	0	0	1	1	5	1	5	0	NA	5
112032	4	400	66.6666666666667	7	12	6	5	20	12	1	3	3	2	3	0	4	0	1	1	1	0	0	0	0	0	0	NA	1	2	0	NA	2
112034	2	1100	275	9	12	4	35	30	12	1	3	3	2	3	0.5	4	1	0	1	1	0	1	1	1	0	1	4	1	4	0	NA	4
112036	4	428	107	9	12	4	4.1	20.8	NA	1	3	3	2	3	0	4	0	1	1	0	0	0	0	0	0	1	2	1	2	0	NA	2
118044	4	450	37.5	1	12	12	0	63	12	1	3	3	2	3	1	4	0	0	0	1	0	0	1	0	0	0	NA	1	2	0	NA	2
123053	4	468	117	9	12	4	4.91	28	12	1	3	3	2	4	1	4	0	0	1	0	0	1	0	1	0	1	2	1	2	0	NA	2
128073	3	1505	376.25	9	12	4	10	30	12	1	4	3	2	3	1	4	0	0	1	1	1	1	0	0	0	1	3	1	3	0	NA	3
128081	3	1233	308.25	9	12	4	1.05	16	4	1	3	3	2	4	1	4	0	0	1	1	0	0	1	1	1	1	2	1	3	1	2	3
129084	3	435	108.75	9	12	4	32	21	4	1	3	3	2	3	1	4	0	0	1	1	1	1	0	0	0	1	4	1	4	0	NA	4
130086	3	1240	310	9	12	4	3	10	6	1	3	3	2	3	1	4	0	0	1	1	1	0	0	0	0	1	4	1	4	1	4	4
133092	3	1700	566.666666666667	10	12	3	2	0	20	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	0	NA	1	4	1	3	4
139106	4	1500	375	9	12	4	1	90	35	1	3	3	2	3	1	4	0	0	1	1	0	0	0	0	0	1	2	1	2	0	NA	2
158165	3	1200	300	9	12	4	2	5	4	1	3	3	2	3	0	4	1	1	1	1	0	1	0	0	1	1	3	1	3	1	3	3
159169	4	750	187.5	9	12	4	30	18.67	10	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	1	0	NA	1	2	0	NA	2
160174	2	500	125	9	12	4	70	40	42	1	3	3	2	3	1	4	0	0	1	0	1	0	1	0	1	1	3	1	3	0	NA	3
161175	4	750	187.5	9	12	4	8	70	12	1	3	3	2	3	NA	4	0	1	0	1	0	0	0	0	0	1	2	1	2	1	2	2
161177	4	100	25	9	12	4	0	95	4	1	3	3	2	3	1	4	0	0	1	0	0	0	0	0	0	1	2	0	NA	0	NA	2
162185	4	300	75	9	12	4	4	60	4	1	3	3	2	3	1	4	0	1	1	1	0	1	1	0	0	0	NA	1	2	0	NA	2
164191	4	1300	325	9	12	4	10	40	12	1	3	3	2	3	0	4	0	1	1	1	0	0	0	0	0	1	2	1	2	1	2	2
166205	2	1100	275	9	12	4	10	15	12	1	3	3	2	3	0	4	1	1	1	1	1	1	1	1	1	1	4	1	4	1	2	4
167207	4	700	175	9	12	4	26.43	75	12	1	3	3	2	3	0.5	4	0	0	1	1	0	1	1	0	1	0	NA	1	2	0	NA	2
168212	2	1550	387.5	9	12	4	5	60	12	1	3	3	2	3	0.5	4	0	1	1	1	0	0	1	0	0	1	2	1	4	0	NA	4
169220	3	1984	496	9	12	4	57	16.13	35	1	3	3	2	3	0	4	0	0	1	1	0	1	0	0	0	1	4	1	4	1	3	4
169228	1	150	25	7	12	6	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA
169240	1	530	66.25	5	12	8	53.9	36.2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA
169245	1	1571	392.75	9	12	4	46.98	40.42	6	0	6	6	4	6	0	8	0	0	1	1	1	1	0	0	0	1	4	1	4	1	2	4
169254	2	1250	312.5	9	12	4	28.2	28.9	8	1	3	3	2	3	0	4	0	0	1	1	1	1	0	0	1	1	NA	1	NA	1	NA	NA
169255	1	1042	NA	NA	NA	NA	32.7	21.2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA
169256	1	743	185.75	9	12	4	34.4	5.1	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA
169257	1	1778	444.5	9	12	4	44	29	NA	1	3	3	2	3	0	4	1	0	1	1	0	1	0	1	0	1	4	1	4	1	4	4
169262	1	1398	349.5	9	12	4	40.63	13.52	8	1	6	6	4	6	0	8	0	0	1	1	0	1	0	0	0	1	4	1	4	1	4	4
169266	1	1116	279	9	12	4	76.5	62.9	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA
169268	1	838	139.666666666667	7	12	6	41.2	6.2	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA
169269	1	2221	555.25	9	12	4	37	19.04	17	1	3	3	2	3	0	4	0	0	1	1	0	1	1	1	0	1	4	1	4	1	2	4
169278	1	1028	257	9	12	4	80	85	18	1	3	3	2	3	0	4	0	0	0	0	0	1	0	1	1	1	2	1	2	0	NA	2
169283	1	1100	275	9	12	4	65	56.4	NA	1	NA	NA	NA	NA	NA	NA	0	0	1	1	0	1	0	0	0	1	4	1	4	1	4	4
169290	3	1111	277.75	9	12	4	79.5	42.8	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA
170293	4	584	146	9	12	4	3.42	25	12	1	3	3	2	3	1	4	0	0	1	1	1	0	0	0	0	1	2	1	2	0	NA	2
172303	3	1300	433.333333333333	10	12	3	7.69	15	12	1	3	3	2	3	0	4	0	1	1	1	1	0	0	0	0	1	4	1	4	1	2	4
173308	4	1000	250	9	12	4	15	40	12	1	3	3	2	3	1	4	1	0	1	0	0	0	0	0	1	0	NA	1	2	0	NA	2
174315	4	1039	259.75	9	12	4	33	10.59	12	1	3	3	2	3	0	4	1	0	1	1	0	1	0	1	0	1	2	1	2	0	NA	2
175318	3	1200	300	9	12	4	75	50	12	1	3	3	2	3	1	4	0	0	1	1	1	1	0	0	0	1	2	1	2	0	NA	2
177332	2	1150	383.333333333333	10	12	3	10	15	12	1	3	3	2	3	1	4	0	1	1	1	0	0	0	0	0	1	4	1	4	0	NA	4
180342	4	426	106.5	9	12	4	23.94	31.92	4	1	3	3	2	3	0.5	4	0	0	1	1	0	0	0	0	0	0	NA	1	2	0	NA	2
181345	4	550	91.6666666666667	7	12	6	3.64	3	12	1	3	3	2	3	1	4	0	0	1	0	0	0	0	1	0	0	NA	1	2	0	NA	2
182347	4	637	159.25	9	12	4	12	18.83	12	1	3	3	2	3	0	4	0	1	1	1	0	0	0	0	1	0	NA	1	2	0	NA	2
183353	2	950	237.5	9	12	4	17	8	12	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	3	0	NA	3
187365	4	800	200	9	12	4	3	40	32	1	3	3	2	3	1	4	0	0	1	1	1	0	0	0	0	0	NA	1	2	0	NA	2
189377	1	1100	91.6666666666667	1	12	12	35	10	4	1	4	4	4	3	1	4	0	0	1	1	1	1	1	1	1	1	4	1	4	0	NA	4
189383	3	1050	262.5	9	12	4	12	15	4	1	3	3	2	3	1	4	0	0	1	1	0	0	0	0	0	1	4	1	4	1	4	4
189385	1	900	225	9	12	4	99	78	28	1	3	3	2	3	1	4	0	1	0	0	0	1	0	0	0	0	NA	1	3	0	NA	3
189387	3	1550	387.5	9	12	4	5	8	4	1	3	3	2	3	0	4	0	1	1	1	0	0	0	0	0	1	3	1	3	0	NA	4
189388	1	425	60.7142857142857	6	12	7	18	20	12	1	3	3	2	3	0.5	NA	0	0	1	1	0	0	0	0	0	0	NA	1	3	0	NA	3
189390	1	1450	362.5	9	12	4	10	8.62	12	1	3	3	2	3	0	4	1	0	1	1	0	0	0	0	1	1	4	1	4	1	4	4
189394	4	1600	400	9	12	4	2	5	18	1	3	3	2	3	1	4	0	1	1	1	0	1	0	1	0	1	2	1	2	1	2	2
193420	4	1200	300	9	12	4	10	20	12	1	3	3	2	3	0.5	4	0	1	1	1	0	1	0	0	0	0	NA	1	2	0	NA	2
194425	2	1080	270	9	12	4	1.11	37.04	4	1	3	3	2	4	0	4	0	0	1	1	1	1	0	0	0	1	3	1	3	0	NA	3
194429	4	1100	275	9	12	4	0.45	25	12	NA	3	3	2	3	0	4	0	0	1	1	1	1	0	1	0	1	4	1	3	0	NA	4
196432	4	1191	297.75	9	12	4	10	16.54	12	1	3	3	2	4	0	4	0	0	1	1	1	0	0	0	0	1	2	1	2	0	NA	2
200445	4	1850	462.5	9	12	4	10	1	4	1	3	3	2	3	0	4	0	1	1	1	0	0	0	0	0	1	4	1	4	1	4	4
201448	4	671	167.75	9	12	4	4.62	35.02	12	1	NA	NA	NA	NA	1	NA	0	1	1	1	0	1	0	0	0	1	2	1	3	0	NA	3
203454	4	1750	437.5	9	12	4	6	25.71	18	1	3	3	2	3	1	4	0	1	1	1	0	1	0	0	0	1	2	1	2	1	2	2
204460	1	650	162.5	9	12	4	96	93	21	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	5	1	5	0	NA	5
204462	1	1700	425	9	12	4	11.18	7.94	12	1	3	3	2	3	0	4	0	1	1	1	1	0	1	1	0	1	5	1	5	1	5	5
204463	4	1000	250	9	12	4	15	16	12	1	3	3	2	3	0	4	1	0	1	1	0	1	0	1	1	1	4	1	4	1	4	4
204466	1	1303	325.75	9	12	4	9.21	29.93	18	1	3	3	2	3	0	4	0	0	1	1	1	0	0	0	0	1	4	1	5	1	5	5
204468	1	2050	512.5	9	12	4	10	2.44	12	1	3	3	2	3	0	4	0	0	1	1	1	1	1	0	0	1	5	1	5	1	5	5
204469	1	1000	250	9	12	4	22	80	57	1	3	3	2	3	0	4	0	0	1	1	1	0	0	0	0	1	4	1	4	1	3	4
204470	4	900	225	9	12	4	6	35	12	1	3	3	2	3	0	4	0	0	1	1	1	0	0	0	0	1	4	1	4	1	4	4
204472	1	1100	275	9	12	4	5	25	12	1	3	3	2	3	0	4	0	0	1	1	0	0	1	0	0	1	5	1	5	1	5	5
204477	1	1500	375	9	12	4	3.33	11.67	4	1	3	3	2	3	0	4	1	0	1	1	1	0	0	0	0	1	5	1	5	1	2	5
204486	1	1300	325	9	12	4	20	34.6	12	1	3	3	2	3	0	4	0	0	1	1	1	0	0	0	0	1	5	1	5	1	4	5
206493	4	246	61.5	9	12	4	24	55	12	1	3	3	2	3	0	4	0	1	0	0	0	0	1	0	0	0	NA	1	2	1	2	2
208500	4	1050	262.5	9	12	4	10	30	12	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	2	0	NA	2
208504	4	525	131.25	9	12	4	1	40	8	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	2	0	NA	2
208507	4	400	100	9	12	4	1.5	31.5	NA	1	3	3	2	3	1	4	0	1	0	0	1	0	0	0	0	0	NA	1	2	0	NA	2
209511	4	525	131.25	9	12	4	15	41	16	1	3	3	2	3	1	4	0	0	1	0	0	1	0	0	0	0	NA	1	2	0	NA	2
211518	4	421	105.25	9	12	4	3	21	1	1	3	3	2	3	0	4	0	0	1	1	0	1	0	0	0	1	2	1	2	1	3	3
212520	3	940	235	9	12	4	2.77	25	4	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	2	0	NA	2
213523	2	1450	362.5	9	12	4	10	33	6	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	2	1	2	2
215528	4	550	91.6666666666667	7	12	6	9.09	28.9	15	1	3	3	2	3	0	4	1	0	1	1	1	1	0	0	0	0	NA	1	2	0	NA	2
215530	4	875	218.75	9	12	4	10	33	6	1	3	3	2	3	0.5	4	0	0	1	1	1	0	0	1	0	1	2	1	4	1	2	4
216538	4	750	187.5	9	12	4	1	25	6	1	3	3	2	3	0	4	0	0	1	1	1	1	0	0	0	1	2	1	2	0	NA	2
217553	2	1400	350	9	12	4	40	30	12	1	3	3	2	3	0	4	0	0	1	1	0	1	0	0	1	1	2	1	2	1	2	2
218563	3	425	70.8333333333333	7	12	6	13	31.29	12	1	3	3	2	3	1	4	0	1	1	0	0	0	0	0	0	0	NA	1	2	0	NA	2
220567	4	600	85.7142857142857	6	12	7	3.33	7.5	4	1	3	3	2	3	1	4	0	0	1	0	0	1	0	0	0	1	3	0	NA	0	NA	3
221568	2	1262	315.5	9	12	4	24	26	12	1	3	3	2	4	1	4	0	0	1	1	0	0	0	1	1	1	2	1	4	1	4	4
221570	4	370	92.5	9	12	4	2.7	25	4	1	3	3	2	3	0	4	0	1	1	0	0	0	0	0	0	0	NA	1	2	0	NA	2
221572	4	700	100	6	12	7	42.86	39.5	12	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	2	0	NA	2
221575	3	950	237.5	9	12	4	26	30	12	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	2	0	NA	2
222580	4	471	117.75	9	12	4	3	60	4	1	3	3	2	3	0.5	4	0	0	1	1	0	1	0	0	0	1	2	1	2	0	NA	2
223582	3	860	215	9	12	4	8	23.26	12	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	0	NA	1	3	0	NA	3
225586	4	844	211	9	12	4	10.07	18.8	12	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	3	1	3	1	3	3
225587	3	1350	337.5	9	12	4	15	25	12	1	3	3	2	3	0	4	0	1	1	1	0	0	1	0	1	1	4	1	4	1	4	4
225593	2	1350	337.5	9	12	4	30	12.15	4	1	3	3	2	3	0	4	0	1	1	1	0	0	0	0	0	1	2	1	2	1	4	4
225594	2	1400	350	9	12	4	28.57	25	12	1	3	3	2	3	0	4	0	1	1	1	0	1	0	0	0	1	2	1	3	1	2	3
228604	3	925	231.25	9	12	4	3.24	30	12	1	3	3	3	3	0	4	1	0	1	1	0	0	0	0	0	1	2	1	2	0	NA	2
228607	4	280	70	9	12	4	8	30	4	1	3	3	2	3	1	4	0	0	1	0	0	0	0	1	0	0	NA	1	2	0	NA	2
230614	4	350	87.5	9	12	4	2.86	30	12	1	3	3	2	3	0	4	0	1	0	0	0	0	0	0	0	0	NA	1	2	0	NA	2
231615	4	485	80.8333333333333	7	12	6	0	67.9	4	1	3	3	2	3	0	4	0	0	1	0	0	0	0	0	0	0	NA	1	2	0	NA	2
233620	2	2000	500	9	12	4	5	15.15	12	1	3	3	2	4	1	4	0	1	1	1	0	0	0	0	0	1	2	1	4	0	NA	4
234627	4	1234	308.5	9	12	4	8	41	4	1	3	3	2	3	1	4	0	0	1	0	0	0	0	0	0	1	2	1	2	0	NA	2
238641	3	700	175	9	12	4	0.86	14.29	12	1	3	3	2	3	1	4	0	0	1	1	0	1	0	0	0	1	2	1	2	0	NA	2
239650	3	1400	350	9	12	4	3	15	4	NA	3	3	2	3	0	4	0	1	1	1	0	1	0	0	1	1	2	1	2	1	2	2
239652	3	2361	590.25	9	12	4	16	12.3	NA	1	3	3	2	3	0	4	0	1	1	1	0	1	0	0	0	1	4	1	4	1	4	4
239656	3	1354	338.5	9	12	4	8.57	13.7	NA	1	3	3	2	3	1	4	0	0	1	1	0	1	1	0	0	1	3	1	2	1	2	3
243674	3	2000	500	9	12	4	5	3.5	12	1	3	3	2	3	0	4	0	0	1	1	1	1	0	0	0	1	4	1	4	1	4	4
243675	4	1750	437.5	9	12	4	12	7.94	36	1	3	3	2	3	0	4	0	0	1	1	0	1	1	0	0	1	4	1	4	1	2	4
243676	3	1700	425	9	12	4	10	9.41	4	1	3	3	2	3	0	4	0	0	1	1	1	1	1	1	1	1	4	1	4	1	4	4
243685	3	2425	606.25	9	12	4	12	2	12	1	3	3	2	3	0	4	0	1	1	1	0	0	0	0	0	1	4	1	4	1	4	4
243686	1	1820	455	9	12	4	75	25	8	1	3	3	2	3	0	4	0	1	1	1	0	0	0	0	1	1	4	1	4	1	2	4
243688	3	1500	375	9	12	4	30	20	12	1	3	3	2	3	0	4	0	1	1	1	0	0	0	0	0	1	4	1	4	0	NA	4
244700	1	500	NA	NA	NA	NA	100	75	11	1	3	3	2	3	0.5	4	0	0	1	0	0	1	0	0	0	1	2	1	2	0	NA	2
244711	1	750	125	7	12	6	99	85	4	1	3	3	2	3	0	4	0	1	1	1	0	1	0	0	0	1	2	1	2	0	NA	2
244712	1	1300	325	9	12	4	80	27.86	10	1	3	3	2	3	1	4	1	0	1	1	1	1	0	0	0	1	4	1	4	1	4	4
244721	1	2000	333.333333333333	7	12	6	45	25	4	1	3	3	2	3	0	4	0	1	1	1	0	1	0	0	1	1	4	1	4	1	4	4
244731	1	1500	250	7	12	6	20	65	12	1	3	3	2	3	1	4	0	1	1	1	0	1	0	0	0	1	2	1	2	1	2	2
244734	1	1050	262.5	9	12	4	100	60	12	NA	3	3	2	3	0	4	0	0	0	1	0	0	0	0	0	1	2	1	2	0	NA	2
244739	3	1300	216.666666666667	7	12	6	96	80	12	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	2	0	NA	2
244754	1	1600	400	9	12	4	99	45	55	1	3	3	2	3	1	4	0	1	1	1	0	0	0	0	0	1	2	1	2	0	NA	2
244758	1	1084	180.666666666667	7	12	6	99.45	75	42	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	2	0	NA	2
244765	1	340	113.333333333333	10	12	3	5	85	NA	0	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA
244768	1	1450	362.5	9	12	4	61	69	18	1	3	3	2	3	0	4	0	0	1	1	1	0	0	0	0	1	2	1	2	0	NA	2
244785	1	650	108.333333333333	7	12	6	100	96	18	1	3	3	2	3	0	4	0	0	1	0	0	0	0	0	0	0	NA	1	2	0	NA	2
244787	1	970	242.5	9	12	4	100	75	6	1	3	3	2	3	0	4	0	0	1	1	0	1	0	0	0	1	2	1	2	0	NA	2
244788	1	150	21.4285714285714	6	12	7	99	70	NA	1	3	3	2	3	0	4	0	0	1	0	0	0	0	0	0	0	NA	1	2	0	NA	2
244789	1	232	77.3333333333333	10	12	3	1	67	NA	1	3	3	2	3	0	4	0	0	1	0	0	0	0	0	0	1	2	1	2	0	NA	2
244790	1	630	105	7	12	6	100	80	12	1	3	3	2	3	0	4	0	0	1	1	0	1	0	0	0	1	2	1	2	0	NA	2
244794	1	810	135	7	12	6	99	95	4	1	3	3	0	3	1	4	0	0	1	0	0	0	0	0	0	0	NA	1	2	0	NA	2
244797	1	1400	350	9	12	4	73	35	12	1	3	3	2	3	0	4	0	1	1	1	0	1	0	0	0	1	2	1	3	1	2	3
244802	1	1050	262.5	9	12	4	80	35	18	1	3	3	2	3	0	4	0	0	1	1	0	1	0	0	0	1	2	1	2	0	NA	2
244805	1	1200	200	7	12	6	40	22.08	4	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	3	1	4	1	3	4
244815	1	1449	241.5	7	12	6	98	63	15	1	3	3	2	3	0	4	0	0	0	0	0	0	0	0	0	1	2	1	2	0	NA	2
244820	1	1000	250	9	12	4	50	28.3	4	1	3	3	2	3	0	4	0	0	1	1	1	0	0	0	0	0	NA	1	3	1	3	3
244825	1	900	150	7	12	6	94.44	85	12	1	3	3	2	3	0	4	0	0	1	0	0	0	0	0	0	1	2	1	2	1	2	2
244826	1	1325	220.833333333333	7	12	6	99	65	12	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	2	0	NA	2
