treat,vs_12_update,vg_12_update,yearssincereg,age,hhinc,female,asian,black,latino,mideastern,nativeamer,d_miss_race,d_miss_age,d_miss_hhinc,d_miss_gender,township_id,milwaukee
0,0,0,4.2546201,61,60,1,0,0,0,0,0,0,0,0,0,99,0
0,0,0,3.5865846,48,91,0,0,0,1,0,0,0,0,0,0,756,0
0,0,1,4.0739222,-999,31,1,0,1,0,0,0,0,1,0,0,87,1
1,0,0,3.5838466,42,43,1,0,0,0,0,0,0,0,0,0,24,0
1,1,0,1.3963039,-999,39,1,0,0,0,0,0,0,1,0,0,157,0
0,0,0,3.8494182,45,45,0,0,1,0,0,0,0,0,0,0,87,1
1,0,0,4.3093772,-999,60,1,0,0,0,0,0,0,1,0,0,63,0
1,0,0,4.8761125,30,46,1,0,0,0,0,0,0,0,0,0,74,0
1,0,0,3.5838466,34,30,1,0,0,0,0,0,0,0,0,0,74,0
0,0,0,3.8548939,-999,60,1,0,0,0,0,0,0,1,0,0,144,0
1,0,1,3.5263519,42,58,1,0,0,0,0,0,0,0,0,0,837,0
0,0,0,3.5947981,57,61,1,0,0,0,0,0,0,0,0,0,121,0
1,0,0,5.0403833,54,28,1,0,0,0,0,0,0,0,0,0,576,0
1,1,1,.17248461,70,60,1,0,0,0,0,0,0,0,0,0,57,0
1,0,0,4.238193,-999,62,1,0,0,1,0,0,0,1,0,0,365,0
1,0,0,3.9616702,-999,20,-999,0,1,0,0,0,0,1,0,1,87,1
0,0,0,3.5865846,53,23,1,0,0,0,0,0,0,0,0,0,80,0
0,0,0,3.6386037,29,46,1,0,0,0,0,0,0,0,0,0,109,0
1,0,0,.17248461,-999,-999,0,1,0,0,0,0,0,1,1,0,64,0
0,0,0,3.6386037,61,28,1,0,0,0,0,0,0,0,0,0,792,0
0,1,1,.20533881,-999,-999,1,0,0,0,0,1,0,1,1,0,386,0
1,0,1,1.0924025,-999,30,1,0,0,0,0,0,0,1,0,0,283,0
1,0,1,3.5838466,38,36,1,0,0,0,0,0,0,0,0,0,800,0
1,0,0,3.5947981,33,44,1,0,1,0,0,0,0,0,0,0,87,1
0,1,1,.22724162,-999,46,1,0,0,1,0,0,0,1,0,0,87,1
0,1,1,3.6577687,31,34,1,0,0,0,0,0,0,0,0,0,74,0
0,0,0,3.871321,-999,23,1,0,1,0,0,0,0,1,0,0,87,1
1,0,1,3.6413414,33,36,1,0,1,0,0,0,0,0,0,0,64,0
0,0,0,3.3155372,-999,36,1,0,0,0,0,0,0,1,0,0,76,0
1,0,0,3.652293,-999,68,1,0,0,1,0,0,0,1,0,0,60,0
1,1,1,3.4907598,-999,26,1,0,0,0,0,0,0,1,0,0,58,0
0,1,1,4.2628336,-999,58,1,0,0,1,0,0,0,1,0,0,74,0
1,1,1,1.631759,-999,53,0,1,0,0,0,0,0,1,0,0,87,1
1,0,1,2.8747432,-999,51,1,1,0,0,0,0,0,1,0,0,74,0
0,1,1,.22724162,68,32,0,0,1,0,0,0,0,0,0,0,87,1
1,1,0,3.6605065,52,17,1,0,1,0,0,0,0,0,0,0,87,1
0,0,0,3.6605065,-999,43,1,0,0,0,0,0,0,1,0,0,60,0
0,0,1,3.9479809,29,57,1,0,0,0,0,0,0,0,0,0,74,0
0,0,0,5.4154687,-999,39,1,0,0,0,0,0,0,1,0,0,74,0
0,0,1,.28199863,48,35,1,0,0,0,0,0,0,0,0,0,78,0
0,0,0,3.6194386,-999,69,0,0,1,0,0,0,0,1,0,0,423,0
1,1,1,3.6605065,35,48,1,0,0,0,0,0,0,0,0,0,159,0
1,1,0,3.8165641,-999,17,1,0,1,0,0,0,0,1,0,0,87,1
1,1,1,.17248461,40,67,1,0,0,0,0,0,0,0,0,0,19,0
1,0,0,4,-999,44,1,0,0,0,0,0,0,1,0,0,87,1
1,1,1,.14510609,40,51,1,0,0,0,0,0,0,0,0,0,157,0
0,1,1,3.6221766,52,51,1,0,0,0,0,0,0,0,0,0,149,0
1,0,1,.36413416,-999,43,1,0,0,0,0,0,0,1,0,0,112,0
0,0,0,3.9698837,28,22,1,0,0,0,0,0,0,0,0,0,74,0
1,0,0,4.3449693,-999,41,1,0,0,0,0,0,0,1,0,0,7,0
1,0,0,1.5906913,-999,23,1,0,1,0,0,0,0,1,0,0,87,1
1,0,0,3.797399,51,53,1,0,0,0,0,0,0,0,0,0,679,0
1,0,0,3.6249144,-999,46,1,0,0,0,0,0,0,1,0,0,755,0
0,1,1,4.3696098,47,77,1,0,0,0,0,0,0,0,0,0,152,0
1,0,1,4.1095142,52,39,1,0,0,0,0,0,0,0,0,0,152,0
0,0,1,4.021903,-999,49,1,0,0,0,0,0,0,1,0,0,153,0
1,1,1,.17248461,56,41,1,0,0,0,0,0,0,0,0,0,7,0
1,0,0,3.7426419,56,41,1,0,0,0,0,0,0,0,0,0,569,0
0,0,1,4.5804243,37,43,1,0,0,0,0,0,0,0,0,0,132,0
0,1,1,.35865846,73,39,1,0,0,0,0,0,0,0,0,0,60,0
