treat,vs_12_update,vg_12_update,yearssincereg,hhinc,age,female,asian,black,latino,mideastern,nativeamer,d_miss_age,d_miss_hhinc,d_miss_gender,d_miss_race
0,1,1,.19164956,91,58,1,0,0,0,0,0,0,0,0,0
0,0,0,5.577002,62,32,1,0,0,0,0,0,0,0,0,0
0,1,1,.23271732,-999,-999,1,0,0,1,0,0,1,1,0,0
0,0,0,3.5838466,31,52,1,0,0,0,0,0,0,0,0,0
0,1,1,5.577002,64,32,1,0,0,0,0,0,0,0,0,0
1,1,1,3.5947981,49,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,3.6221766,44,48,1,0,0,0,0,0,0,0,0,0
1,0,0,7.2826829,62,38,1,0,1,0,0,0,0,0,0,0
1,1,1,3.5838466,76,36,1,0,0,0,0,0,0,0,0,0
1,1,1,1.3032169,54,54,1,0,0,0,0,0,0,0,0,0
1,0,0,4.0082135,52,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,7.5893226,54,59,1,0,0,0,0,0,0,0,0,0
0,0,0,13.587954,71,45,1,0,0,0,0,0,0,0,0,0
1,0,0,5.577002,46,33,1,0,0,0,0,0,0,0,0,0
1,0,1,3.5838466,43,58,1,0,0,0,0,0,0,0,0,0
0,0,0,3.5838466,63,31,1,0,0,0,0,0,0,0,0,0
1,0,0,4.1779604,37,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,,77,44,1,0,0,0,0,0,0,0,0,0
1,1,1,4.2683096,64,46,0,0,0,0,1,0,0,0,0,0
0,1,1,.18343601,61,66,1,0,0,0,0,0,0,0,0,0
0,1,1,4.2929502,31,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,,47,35,1,1,0,0,0,0,0,0,0,0
0,1,1,3.5838466,32,41,1,0,0,0,0,0,0,0,0,0
0,1,1,3.5838466,58,-999,1,0,0,1,0,0,1,0,0,0
1,1,1,1.1690623,54,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,3.7399042,46,46,1,1,0,0,0,0,0,0,0,0
1,0,0,5.3442845,35,64,1,0,0,0,0,0,0,0,0,0
0,0,0,7.5920601,21,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,3.5865846,43,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,10.694045,31,31,1,0,0,0,0,0,0,0,0,0
1,1,0,5.577002,53,44,0,1,0,0,0,0,0,0,0,0
0,1,1,,31,39,1,0,0,0,0,0,0,0,0,0
1,1,1,3.5838466,47,41,1,0,0,0,0,0,0,0,0,0
1,1,1,1.2238193,-999,-999,1,0,0,0,0,1,1,1,0,0
0,0,0,3.5236139,47,32,1,0,0,0,0,0,0,0,0,0
1,0,0,4.2929502,48,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,12.427105,73,-999,1,0,1,0,0,0,1,0,0,0
1,0,1,3.5838466,61,35,1,0,0,0,0,0,0,0,0,0
1,0,0,14.179329,26,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,3.5838466,25,-999,-999,-999,-999,-999,-999,-999,1,0,1,1
0,1,1,4.2929502,46,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,94.425735,76,-999,0,0,0,0,1,0,1,0,0,0
0,0,0,1.1690623,23,52,1,0,0,0,0,0,0,0,0,0
1,0,0,15.59206,21,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,5.577002,36,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,5.577002,74,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,.8240931,25,62,1,0,0,0,0,0,0,0,0,0
0,0,0,5.577002,32,-999,1,0,0,0,0,0,1,0,0,0
1,1,0,3.5838466,68,27,1,0,0,0,0,0,0,0,0,0
1,0,0,9.5989046,-999,-999,0,0,0,0,1,0,1,1,0,0
1,0,0,13.587954,94,64,1,0,0,0,0,0,0,0,0,0
1,0,0,3.5017111,20,52,1,0,0,0,0,0,0,0,0,0
1,0,1,5.577002,42,54,1,0,0,0,0,0,0,0,0,0
1,0,0,3.6632442,36,47,1,0,0,0,0,0,0,0,0,0
1,1,1,5.6290212,37,-999,0,0,1,0,0,0,1,0,0,0
1,0,1,.28473648,-999,35,1,0,1,0,0,0,0,1,0,0
1,1,1,3.5838466,72,30,1,0,0,0,0,0,0,0,0,0
1,0,1,4.3504448,34,-999,0,0,0,1,0,0,1,0,0,0
0,1,1,.17248461,45,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.5838466,21,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,3.8822725,51,49,1,0,0,0,0,0,0,0,0,0
0,1,1,3.6002738,70,64,1,0,0,0,0,0,0,0,0,0
0,0,1,3.6495552,39,39,1,0,1,0,0,0,0,0,0,0
1,0,0,3.6386037,37,32,1,0,0,0,0,0,0,0,0,0
0,0,1,3.5838466,39,-999,1,0,0,0,1,0,1,0,0,0
0,0,0,3.6030116,35,-999,0,1,0,0,0,0,1,0,0,0
1,0,1,3.5838466,44,46,1,0,0,0,0,0,0,0,0,0
0,1,1,7.9288158,51,-999,1,0,0,0,0,0,1,0,0,0
0,1,0,3.6605065,82,53,0,0,1,0,0,0,0,0,0,0
0,0,1,3.5838466,65,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.9698837,69,48,1,0,0,0,0,0,0,0,0,0
1,0,0,3.5838466,60,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,3.5838466,41,26,1,0,0,0,0,0,0,0,0,0
0,0,1,3.5838466,60,33,1,0,0,0,0,0,0,0,0,0
0,0,1,3.6440794,29,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,3.7344284,69,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,94.425735,30,-999,1,0,1,0,0,0,1,0,0,0
1,0,0,3.6440794,75,71,0,1,0,0,0,0,0,0,0,0
1,1,1,4.2929502,25,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,4.3093772,32,30,1,0,0,0,0,0,0,0,0,0
0,0,1,4.235455,41,35,1,0,0,0,0,0,0,0,0,0
1,1,1,.17248461,26,-999,0,-999,-999,-999,-999,-999,1,0,0,1
1,1,1,4.2929502,43,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,3.5947981,44,-999,1,0,1,0,0,0,1,0,0,0
0,0,0,3.5838466,52,31,1,0,0,0,0,0,0,0,0,0
1,0,0,3.5838466,25,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,3.6386037,67,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.5838466,44,36,1,0,0,0,0,0,0,0,0,0
0,0,0,7.2826829,46,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,.61601645,60,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,9.5934296,35,40,1,0,0,0,0,0,0,0,0,0
0,0,1,7.2826829,58,57,1,0,0,1,0,0,0,0,0,0
1,0,1,5.577002,52,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,3.5838466,74,-999,1,0,0,0,0,0,1,0,0,0
0,1,0,3.6249144,38,-999,1,0,1,0,0,0,1,0,0,0
0,0,1,.17248461,29,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,7.8138261,25,-999,0,1,0,0,0,0,1,0,0,0
1,0,1,3.5838466,40,33,1,0,0,0,1,0,0,0,0,0
1,1,1,3.6440794,54,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,3.5838466,72,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,3.6550307,37,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,10.171116,38,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,4.2929502,42,48,1,0,0,0,0,0,0,0,0,0
0,0,0,3.4223135,60,29,1,0,0,0,0,0,0,0,0,0
0,0,0,17.612595,52,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,3.5838466,54,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,4.2929502,39,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,11.575633,51,52,1,0,0,1,0,0,0,0,0,0
1,0,1,.17248461,-999,-999,0,0,0,0,1,0,1,1,0,0
0,1,1,3.6057494,36,60,1,0,0,0,0,0,0,0,0,0
1,0,0,4.2929502,69,41,0,0,0,0,1,0,0,0,0,0
1,1,1,4.2929502,35,68,1,0,0,0,0,0,0,0,0,0
0,0,1,11.728952,37,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,3.5838466,49,53,1,0,0,0,0,0,0,0,0,0
0,1,1,.26557153,70,35,1,0,0,0,0,0,0,0,0,0
0,0,0,3.5838466,44,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,5.577002,32,45,1,0,0,0,0,0,0,0,0,0
1,0,0,7.5893226,58,-999,1,1,0,0,0,0,1,0,0,0
1,0,0,2.0041068,53,45,1,0,0,0,0,0,0,0,0,0
1,0,0,21.579741,46,-999,-999,0,1,0,0,0,1,0,1,0
1,0,0,4.2929502,43,31,1,0,0,0,0,0,0,0,0,0
0,1,1,.17248461,-999,-999,1,0,1,0,0,0,1,1,0,0
0,0,0,4.2929502,40,51,1,0,0,0,0,0,0,0,0,0
1,1,1,4.1533198,54,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,3.5838466,44,35,1,0,0,0,0,0,0,0,0,0
1,1,1,4.2929502,26,-999,1,0,0,0,0,0,1,0,0,0
0,0,1,5.6673512,38,26,1,0,0,0,0,0,0,0,0,0
1,0,0,11.575633,29,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,.38877481,42,34,1,0,0,0,0,0,0,0,0,0
0,0,1,3.5947981,76,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,7.2991104,46,59,1,0,0,0,0,0,0,0,0,0
0,0,1,5.577002,69,57,1,0,0,0,0,0,0,0,0,0
0,0,1,1.6454483,41,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,3.5017111,38,35,1,0,0,1,0,0,0,0,0,0
0,0,0,4.3039017,31,62,1,0,0,0,0,0,0,0,0,0
0,1,1,,64,84,1,0,0,0,0,0,0,0,0,0
0,0,0,7.8357291,82,97,1,0,0,0,0,0,0,0,0,0
0,0,1,1.6043806,36,65,1,0,0,0,0,0,0,0,0,0
0,0,0,3.8056126,36,-999,1,0,0,0,0,1,1,0,0,0
0,0,0,9.5824776,44,-999,0,0,0,1,0,0,1,0,0,0
0,0,1,8.1806984,58,64,1,0,0,0,0,0,0,0,0,0
0,0,0,13.587954,37,49,1,0,0,1,0,0,0,0,0,0
1,0,0,3.5838466,74,50,1,1,0,0,0,0,0,0,0,0
0,0,1,3.6632442,56,73,1,0,0,0,0,0,0,0,0,0
0,1,1,5.577002,67,47,1,0,0,0,0,0,0,0,0,0
0,0,1,7.5920601,50,80,1,0,0,0,0,0,0,0,0,0
1,0,0,25.738535,44,87,1,0,0,0,0,0,0,0,0,0
1,0,1,7.6577687,47,-999,1,0,1,0,0,0,1,0,0,0
1,0,0,4.1314168,16,72,1,0,0,0,0,0,0,0,0,0
1,1,1,.24914442,-999,-999,1,0,1,0,0,0,1,1,0,0
1,1,1,4.1779604,43,51,1,0,0,0,0,0,0,0,0,0
0,0,0,7.5893226,46,-999,-999,1,0,0,0,0,1,0,1,0
1,0,0,3.6577687,58,57,1,0,0,1,0,0,0,0,0,0
0,0,1,11.575633,25,78,0,1,0,0,0,0,0,0,0,0
0,0,0,19.586584,-999,-999,-999,1,0,0,0,0,1,1,1,0
1,0,1,9.5633125,38,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,4.2929502,36,55,1,0,0,0,0,0,0,0,0,0
0,0,1,6.3463383,58,81,1,0,0,0,0,0,0,0,0,0
0,0,1,3.6139631,39,36,1,0,1,0,0,0,0,0,0,0
1,0,0,7.5893226,38,46,1,0,0,0,0,0,0,0,0,0
1,0,0,1.3716632,32,78,1,0,0,0,0,0,0,0,0,0
1,0,0,8.1615334,39,48,1,0,0,0,0,0,0,0,0,0
1,0,1,8.884326,52,-999,0,0,0,1,0,0,1,0,0,0
1,1,1,4.0082135,46,70,1,0,0,0,0,0,0,0,0,0
0,0,0,11.728952,32,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,4.8405204,43,73,1,0,0,0,0,0,0,0,0,0
0,1,0,3.6030116,36,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,5.6509242,50,89,1,0,0,0,0,0,0,0,0,0
1,0,0,4.2929502,39,62,1,0,0,0,0,0,0,0,0,0
1,0,0,19.586584,71,50,1,0,0,0,1,0,0,0,0,0
0,0,0,3.5865846,31,51,1,0,0,0,0,0,0,0,0,0
0,1,1,2.1656399,53,38,1,0,0,0,0,0,0,0,0,0
1,0,1,7.5893226,58,66,1,0,0,0,0,0,0,0,0,0
1,0,1,3.6933608,56,67,1,0,0,0,0,0,0,0,0,0
1,0,1,3.5838466,38,38,1,0,0,0,0,0,0,0,0,0
0,0,0,13.741273,52,49,1,0,0,0,0,0,0,0,0,0
0,1,1,4.2929502,36,85,1,0,0,0,0,0,0,0,0,0
0,0,1,17.653662,74,-999,1,1,0,0,0,0,1,0,0,0
0,1,0,4.2929502,39,64,1,0,0,0,0,0,0,0,0,0
0,0,1,12.427105,46,62,1,0,0,0,0,0,0,0,0,0
1,0,1,3.5838466,39,80,1,0,0,0,0,0,0,0,0,0
1,0,0,3.5838466,43,-999,1,0,0,1,0,0,1,0,0,0
1,0,0,9.5660505,70,-999,0,0,0,1,0,0,1,0,0,0
1,0,0,4.2327175,41,72,1,0,0,0,0,0,0,0,0,0
0,1,1,5.577002,54,54,0,0,0,0,1,0,0,0,0,0
0,0,1,3.4825461,38,26,1,0,0,0,0,0,0,0,0,0
1,0,0,7.6386037,25,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,4.2929502,43,84,1,0,0,0,0,0,0,0,0,0
0,1,1,1.1690623,39,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,3.6386037,34,33,1,0,0,0,0,0,0,0,0,0
0,1,0,10.179329,39,40,1,0,0,0,0,0,0,0,0,0
1,0,1,13.59343,67,-999,0,0,0,0,1,0,1,0,0,0
0,1,1,1.6591376,36,62,1,0,0,0,0,0,0,0,0,0
0,1,1,3.5838466,24,39,1,0,0,0,0,0,0,0,0,0
0,0,1,3.5838466,33,44,1,0,0,0,0,0,0,0,0,0
1,0,1,7.8412046,52,40,1,1,0,0,0,0,0,0,0,0
0,0,1,4.219028,32,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,3.6139631,42,51,1,0,0,0,0,0,0,0,0,0
1,0,1,3.7399042,37,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,11.728952,-999,-999,1,1,0,0,0,0,1,1,0,0
1,1,1,7.6002736,74,63,1,0,0,0,0,0,0,0,0,0
1,0,1,11.66872,54,49,1,0,0,1,0,0,0,0,0,0
0,0,0,7.6605067,36,38,1,0,0,0,0,0,0,0,0,0
1,0,1,3.652293,39,29,0,1,0,0,0,0,0,0,0,0
0,1,1,7.6577687,41,31,1,0,0,0,0,0,0,0,0,0
0,0,1,1.1279945,61,34,0,0,1,0,0,0,0,0,0,0
1,0,0,12.208076,52,60,1,0,0,0,0,0,0,0,0,0
0,0,0,67.676933,49,96,1,0,0,0,0,0,0,0,0,0
0,0,0,7.6194386,48,42,1,0,0,0,0,0,0,0,0,0
0,0,0,7.5893226,46,38,1,0,0,0,1,0,0,0,0,0
0,0,0,3.671458,48,57,1,0,0,0,0,0,0,0,0,0
0,0,1,7.8466802,64,-999,1,1,0,0,0,0,1,0,0,0
1,0,0,19.586584,69,55,1,0,0,0,0,0,0,0,0,0
1,0,1,23.624914,60,62,1,0,0,0,0,0,0,0,0,0
1,1,1,3.5838466,86,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,5.577002,35,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,.8240931,67,37,-999,1,0,0,0,0,0,0,1,0
0,0,1,4.2929502,48,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,1.3634497,77,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.5838466,72,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,.17248461,36,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,7.5893226,43,-999,-999,1,0,0,0,0,1,0,1,0
0,0,1,4.1423683,54,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,1.1690623,33,42,1,0,0,0,0,0,0,0,0,0
