"badaddress","town1_block","town2_block","town3_block","town4_block","town5_block","town6_block","i_grp_addr_1","i_grp_addr_2","i_grp_addr_3","i_grp_addr_4","dem","rep","sex_1","sex_2","v_cong_general_10","v_pres_primary_12","v_cong_primary_12","v_pres_general_12","turnoutindex_12","age_md","age_sq_md","anysecrecytreatment","sosplacebotreatments"
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,39.708065032959,43.1908531188965,1,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1.70806622505188,-1.64914798736572,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,28.7080669403076,27.240852355957,1,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,-5.29193353652954,-6.75914764404297,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3.70806622505188,-0.00914857443422079,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,29.7080669403076,28.5908546447754,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6.70806646347046,2.60085201263428,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.29193377494812,-3.20914840698242,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,24.7080669403076,22.0408515930176,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.70806622505188,-0.83914852142334,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,16.7080669403076,12.6008520126343,1,0
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,43.708065032959,49.5908508300781,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,46.708065032959,54.6008529663086,1,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5.70806646347046,1.71085262298584,1,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,17.7080669403076,13.7108526229858,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,8.7080659866333,4.44085216522217,1,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1.70806622505188,-1.64914798736572,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14.7080659866333,10.4408521652222,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,24.7080669403076,22.0408515930176,1,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3.70806622505188,-0.00914857443422079,1,0
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,18.7080669403076,14.8408536911011,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1.29193377494812,-3.95914840698242,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-3.29193377494812,-5.39914798736572,1,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,16.7080669403076,12.6008520126343,1,0
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,14.7080659866333,10.4408521652222,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.70806646347046,3.51085186004639,0,1
