"treat","vs_12_update","vg_12_update","yearssincereg","post08reg","age_corrected","d_miss_age","hhinc_corrected","d_miss_hhinc","female","d_miss_gender","asian","black","latino","mideastern","nativeamer","d_miss_race","township_id","milwaukee"
0,0,0,4.25462007522583,0,61,0,60,0,1,0,0,0,0,0,0,0,99,0
0,0,0,3.58658456802368,1,48,0,91,0,0,0,0,0,1,0,0,0,756,0
0,0,1,4.0739221572876,0,0,1,31,0,1,0,0,1,0,0,0,0,87,1
1,0,0,3.58384656906128,1,42,0,43,0,1,0,0,0,0,0,0,0,24,0
1,1,0,1.39630389213562,1,0,1,39,0,1,0,0,0,0,0,0,0,157,0
0,0,0,3.84941816329956,0,45,0,45,0,0,0,0,1,0,0,0,0,87,1
1,0,0,4.30937719345093,0,0,1,60,0,1,0,0,0,0,0,0,0,63,0
1,0,0,4.87611246109009,0,30,0,46,0,1,0,0,0,0,0,0,0,74,0
1,0,0,3.58384656906128,1,34,0,30,0,1,0,0,0,0,0,0,0,74,0
0,0,0,3.85489392280579,0,0,1,60,0,1,0,0,0,0,0,0,0,144,0
1,0,1,3.52635192871094,1,42,0,58,0,1,0,0,0,0,0,0,0,837,0
0,0,0,3.59479808807373,1,57,0,61,0,1,0,0,0,0,0,0,0,121,0
1,0,0,5.04038333892822,0,54,0,28,0,1,0,0,0,0,0,0,0,576,0
1,1,1,0.17248460650444,1,70,0,60,0,1,0,0,0,0,0,0,0,57,0
1,0,0,4.23819303512573,0,0,1,62,0,1,0,0,0,1,0,0,0,365,0
1,0,0,3.96167016029358,0,0,1,20,0,0,1,0,1,0,0,0,0,87,1
0,0,0,3.58658456802368,1,53,0,23,0,1,0,0,0,0,0,0,0,80,0
0,0,0,3.63860368728638,0,29,0,46,0,1,0,0,0,0,0,0,0,109,0
1,0,0,0.17248460650444,1,0,1,0,1,0,0,1,0,0,0,0,0,64,0
0,0,0,3.63860368728638,0,61,0,28,0,1,0,0,0,0,0,0,0,792,0
0,1,1,0.205338805913925,1,0,1,0,1,1,0,0,0,0,0,1,0,386,0
1,0,1,1.09240245819092,1,0,1,30,0,1,0,0,0,0,0,0,0,283,0
1,0,1,3.58384656906128,1,38,0,36,0,1,0,0,0,0,0,0,0,800,0
1,0,0,3.59479808807373,1,33,0,44,0,1,0,0,1,0,0,0,0,87,1
0,1,1,0.22724162042141,1,0,1,46,0,1,0,0,0,1,0,0,0,87,1
0,1,1,3.65776872634888,0,31,0,34,0,1,0,0,0,0,0,0,0,74,0
0,0,0,3.87132096290588,0,0,1,23,0,1,0,0,1,0,0,0,0,87,1
1,0,1,3.6413414478302,0,33,0,36,0,1,0,0,1,0,0,0,0,64,0
0,0,0,3.31553721427917,1,0,1,36,0,1,0,0,0,0,0,0,0,76,0
1,0,0,3.65229296684265,0,0,1,68,0,1,0,0,0,1,0,0,0,60,0
