GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; With earnings,Total; Margin of Error; With earnings,Mean income (dollars); Estimate; With earnings,Mean income (dollars); Margin of Error; With earnings,"Total; Estimate; With interest, dividends, or net rental income","Total; Margin of Error; With interest, dividends, or net rental income","Mean income (dollars); Estimate; With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; With interest, dividends, or net rental income",Total; Estimate; With Social Security income,Total; Margin of Error; With Social Security income,Mean income (dollars); Estimate; With Social Security income,Mean income (dollars); Margin of Error; With Social Security income,Total; Estimate; With Supplemental Security Income (SSI),Total; Margin of Error; With Supplemental Security Income (SSI),Mean income (dollars); Estimate; With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; With Supplemental Security Income (SSI),Total; Estimate; With cash public assistance income,Total; Margin of Error; With cash public assistance income,Mean income (dollars); Estimate; With cash public assistance income,Mean income (dollars); Margin of Error; With cash public assistance income,Total; Estimate; With retirement income,Total; Margin of Error; With retirement income,Mean income (dollars); Estimate; With retirement income,Mean income (dollars); Margin of Error; With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
8600000US48001,48001,ZCTA5 48001,5117,194,58309,3057,67.7,3.5,59796,4482,23.3,3.6,10069,4352,37.1,3.6,16815,1218,6.5,2.2,10631,2985,1.0,0.7,5180,6051,28.0,3.5,24358,3725,3436,174,67992,3992,22.8,3.7,,,28.3,4.6,,,29.4,4.7,,,9.0,3.2,,,9.9,3.0,,,0.7,0.8,,,12192,167,24708,1351,98.5,0.9,24794,1400,0.0,0.1,,,0.3,0.4,,,0.2,0.3,,,0.0,0.2,,,0.6,0.6,14664,6762,0.3,0.2,,,1.5,0.8,16316,4363,97.7,1.1,24856,1412,27.3,,,,24.1,,,,18.4,,,
8600000US48002,48002,ZCTA5 48002,1135,82,72338,7076,85.5,5.1,70733,8139,25.6,6.6,5316,1782,31.2,6.2,18758,2789,1.3,1.5,11553,379,1.3,1.5,2547,2139,17.7,6.0,17066,4249,912,72,79948,7942,13.3,5.9,,,26.1,6.3,,,41.1,7.8,,,4.5,3.6,,,12.4,5.7,,,2.6,3.6,,,3297,16,25118,2638,98.0,1.3,25006,2599,0.0,0.8,,,0.0,0.8,,,0.7,0.8,,,0.0,0.8,,,0.8,0.9,,,0.5,0.8,,,3.2,3.0,15905,11822,95.6,2.9,25164,2665,21.0,,,,21.8,,,,13.7,,,
8600000US48003,48003,ZCTA5 48003,2147,146,70648,5578,79.6,4.3,73782,5741,25.8,4.8,6568,2308,24.6,3.6,17799,1718,2.2,1.3,9555,1379,2.3,1.4,7974,4796,19.8,3.5,18862,4442,1600,114,80847,6631,13.0,4.1,31801,9361,32.3,6.5,61899,8012,33.4,5.5,108940,9284,7.3,2.8,62295,12924,11.7,4.0,115345,15916,2.3,2.1,98935,39920,5951,291,25605,2146,95.6,2.1,26128,2163,0.0,0.4,,,0.0,0.4,,,1.2,1.1,44212,25222,0.0,0.4,,,1.5,1.3,5534,1827,1.7,1.4,,,2.3,1.5,10000,4433,94.8,2.1,26195,2187,26.5,,,,22.9,,,,17.6,,,
8600000US48005,48005,ZCTA5 48005,1860,100,79639,7414,84.1,3.2,75723,6288,26.9,5.2,14250,11484,29.4,3.8,17358,1638,1.7,1.1,14645,5488,0.8,0.6,5980,4706,22.1,4.4,22968,4268,1492,82,82903,6689,10.3,3.2,40242,6041,30.0,5.1,71124,6168,30.6,5.8,93287,7008,13.3,5.4,66292,10083,11.2,4.5,133546,26591,4.6,3.7,110937,60104,5404,51,28045,2910,98.8,0.7,28084,2955,0.3,0.4,,,0.0,0.5,,,0.0,0.5,,,0.0,0.5,,,0.1,0.1,,,0.9,0.6,26117,8352,1.4,1.1,42533,20988,97.4,1.2,27871,2954,26.9,,,,26.5,,,,19.4,,,
8600000US48006,48006,ZCTA5 48006,1371,64,63811,3988,78.0,3.7,62263,4267,22.4,4.1,4153,1324,34.5,4.0,19337,1353,5.3,3.0,7242,2909,3.3,2.4,3382,2091,25.3,4.3,17724,2741,1060,61,70454,4481,16.4,3.4,36783,4240,30.8,5.2,58765,7423,32.5,5.2,85271,7553,8.7,3.2,66575,11361,8.8,3.8,111162,17308,2.7,2.4,109762,33410,3932,178,22676,1406,98.3,0.8,22604,1388,0.0,0.6,,,0.2,0.2,12089,15843,0.4,0.4,58529,31483,0.0,0.6,,,0.5,0.5,33139,29171,0.6,0.5,9563,9503,1.3,0.8,18874,14994,97.8,1.0,22643,1398,30.3,,,,27.3,,,,21.8,,,
8600000US48009,48009,ZCTA5 48009,8871,240,151887,9146,84.3,2.2,147062,10071,43.8,2.9,37278,7718,23.0,1.8,21152,1166,0.7,0.5,11094,3591,0.6,0.4,6427,5013,16.7,1.9,30537,4728,5501,164,189782,13234,11.2,2.2,116109,33273,39.5,3.9,194205,19742,37.9,3.6,218947,20939,6.7,2.0,141365,43933,3.7,1.5,162558,38237,0.8,1.0,160411,36510,20037,25,67580,4251,92.5,1.7,68993,4411,3.8,1.4,54014,21502,0.1,0.1,6880,3398,1.6,0.7,77738,21168,0.0,0.1,,,0.2,0.2,29564,21859,1.8,0.7,24236,17764,1.8,0.8,37340,16488,91.0,1.9,69464,4449,20.4,,,,21.0,,,,15.7,,,
8600000US48014,48014,ZCTA5 48014,1579,109,54591,4804,79.0,5.9,52476,6117,15.5,4.6,3362,1488,25.1,6.4,19104,2435,0.6,0.5,11244,4236,3.0,2.2,1489,567,25.6,5.6,20508,3229,1147,91,58821,6271,14.4,6.3,33848,8482,28.7,7.5,45581,10362,30.4,7.6,63711,12663,12.4,4.9,56000,16537,9.9,5.1,111483,14343,4.2,3.1,83125,35921,4381,237,20000,1930,86.4,4.9,21622,2235,0.1,0.2,,,0.3,0.5,,,0.0,0.6,,,0.4,0.4,,,6.5,3.4,13471,4529,6.3,3.6,7049,3273,14.8,4.5,8522,3126,79.8,5.0,22977,2407,23.2,,,,24.1,,,,14.8,,,
8600000US48015,48015,ZCTA5 48015,3764,206,45399,3430,63.7,4.4,54109,5222,18.4,4.0,7192,3349,37.4,4.1,13834,1054,6.3,2.4,7417,1434,5.4,2.8,5462,3176,15.5,3.1,15242,3145,1899,118,62979,6772,16.1,6.0,,,29.2,7.0,,,25.5,6.4,,,20.6,7.1,,,7.7,4.2,,,0.9,1.4,,,8339,32,21165,1772,83.6,5.0,22617,1693,11.8,4.1,17141,7916,0.2,0.3,,,1.0,1.1,,,0.0,0.3,,,0.4,0.5,,,3.0,2.8,2469,1895,1.3,1.0,15868,4714,82.3,4.9,22723,1722,24.4,,,,23.6,,,,20.5,,,
8600000US48017,48017,ZCTA5 48017,5498,204,62847,2483,80.2,2.4,64419,3319,23.9,2.8,5393,1351,26.4,2.9,17895,1197,2.4,1.0,9187,1970,1.7,0.9,7422,4128,20.7,3.0,17961,2588,3036,147,77901,4395,12.2,2.8,50324,8315,28.1,4.2,54304,6344,35.0,5.4,97112,6765,8.3,3.1,59113,10513,11.7,3.3,112514,8374,4.7,2.3,95131,25743,11932,52,29578,1192,93.7,2.0,30426,1261,1.7,1.4,18856,8129,0.1,0.1,,,2.1,0.9,19254,8389,0.1,0.1,,,0.3,0.2,28613,6619,2.0,1.4,11688,7085,0.9,0.5,29381,11832,93.2,2.1,30393,1264,23.5,,,,25.2,,,,18.8,,,
