GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; With earnings,Total; Margin of Error; With earnings,Mean income (dollars); Estimate; With earnings,Mean income (dollars); Margin of Error; With earnings,"Total; Estimate; With interest, dividends, or net rental income","Total; Margin of Error; With interest, dividends, or net rental income","Mean income (dollars); Estimate; With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; With interest, dividends, or net rental income",Total; Estimate; With Social Security income,Total; Margin of Error; With Social Security income,Mean income (dollars); Estimate; With Social Security income,Mean income (dollars); Margin of Error; With Social Security income,Total; Estimate; With Supplemental Security Income (SSI),Total; Margin of Error; With Supplemental Security Income (SSI),Mean income (dollars); Estimate; With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; With Supplemental Security Income (SSI),Total; Estimate; With cash public assistance income,Total; Margin of Error; With cash public assistance income,Mean income (dollars); Estimate; With cash public assistance income,Mean income (dollars); Margin of Error; With cash public assistance income,Total; Estimate; With retirement income,Total; Margin of Error; With retirement income,Mean income (dollars); Estimate; With retirement income,Mean income (dollars); Margin of Error; With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
8600000US48001,48001,ZCTA5 48001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,,,,,,,,,$N,$N,,,$N,$N,,,$N,$N,,,$-,$**,,,,,,,$N,$N,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48002,48002,ZCTA5 48002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,,,,,,,,,$-,$**,,,$-,$**,,,$N,$N,,,$-,$**,,,$N,$N,,,$N,$N,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48003,48003,ZCTA5 48003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$-,$**,,,$-,$**,,,,,,,$-,$**,,,,,,,$N,$N,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48005,48005,ZCTA5 48005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,$-,$**,,,$-,$**,,,$-,$**,,,$N,$N,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48006,48006,ZCTA5 48006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$-,$**,,,,,,,,,,,$-,$**,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48009,48009,ZCTA5 48009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$-,$**,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48014,48014,ZCTA5 48014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,$N,$N,,,$-,$**,,,$N,$N,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48015,48015,ZCTA5 48015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,$N,$N,,,,,,,,,,,,,,,$N,$N,,,$N,$N,,,$-,$**,,,$-,$**,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
8600000US48017,48017,ZCTA5 48017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$N,$N,,,,,,,$-,$**,,,,,,,,,,,,,,,,,,$(X),$(X),$(X),,$(X),$(X),$(X),,$(X),$(X),$(X)
