GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; One race-- - White,Total; Margin of Error; One race-- - White,Median income (dollars); Estimate; One race-- - White,Median income (dollars); Margin of Error; One race-- - White,Total; Estimate; One race-- - Black or African American,Total; Margin of Error; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Median income (dollars); Margin of Error; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Total; Margin of Error; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Total; Margin of Error; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Median income (dollars); Margin of Error; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Total; Margin of Error; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Median income (dollars); Margin of Error; One race-- - Some other race,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Median income (dollars); Estimate; Two or more races,Median income (dollars); Margin of Error; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Married-couple families,Total; Margin of Error; FAMILIES - Married-couple families,Median income (dollars); Estimate; FAMILIES - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Married-couple families,"Total; Estimate; FAMILIES - Female householder, no husband present","Total; Margin of Error; FAMILIES - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Female householder, no husband present","Total; Estimate; FAMILIES - Male householder, no wife present","Total; Margin of Error; FAMILIES - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US48001,48001,ZCTA5 48001,5117,194,48081,3836,99.5,0.6,47785,3933,0.0,0.5,,,0.2,0.4,,,0.0,0.5,,,0.0,0.5,,,0.2,0.4,,,0.1,0.2,,,1.0,0.7,38047,24115,98.6,0.9,48169,3813,2.1,1.6,33843,35779,26.3,3.4,50640,5534,46.4,3.5,67123,7253,25.1,2.5,33726,5047,3436,174,59028,8188,35.0,3.6,64559,10297,65.0,3.6,55847,4982,82.4,3.9,65410,4857,12.2,3.6,29844,10650,5.4,2.8,31402,11656,1681,236,26408,1817,51.3,8.9,24493,4755,41.3,8.3,21519,2673,10.1,7.4,42591,6294,48.7,8.9,30040,7092,43.6,9.1,26875,5719,5.1,2.7,52625,61920,27.3,,,,24.1,,,,31.6,,,
8600000US48002,48002,ZCTA5 48002,1135,82,63693,8204,97.7,2.7,62399,7543,0.0,2.2,,,0.0,2.2,,,0.0,2.2,,,0.0,2.2,,,0.8,1.3,,,1.5,2.4,,,2.6,2.7,69286,1748,95.9,3.5,61976,6116,0.7,1.2,,,34.9,6.1,72054,9369,44.9,5.4,67692,9327,19.5,4.7,38906,15376,912,72,69907,8724,37.1,7.7,71196,4889,62.9,7.7,64375,21187,91.8,5.8,70272,9035,5.9,4.8,48750,15095,2.3,3.3,118618,646,223,79,36908,13367,45.3,18.0,18472,2990,36.3,17.4,19398,11100,9.0,13.2,,,54.7,18.0,56389,30780,40.8,17.7,43393,23025,13.9,13.5,68516,12126,21.0,,,,21.8,,,,17.5,,,
8600000US48003,48003,ZCTA5 48003,2147,146,63538,5356,98.1,1.5,63625,4373,0.0,1.2,,,0.0,1.2,,,0.8,1.2,,,0.0,1.2,,,0.9,0.8,31563,3913,0.2,0.4,,,2.2,1.6,28393,11874,96.8,2.0,63975,3033,0.9,1.3,,,35.3,4.0,69875,11733,44.5,3.6,76667,11649,19.3,2.6,34191,6347,1600,114,75481,7093,46.8,4.5,79889,12090,53.3,4.5,67419,8369,79.9,5.0,83276,11447,14.0,4.1,37955,11133,6.1,3.1,53571,27493,547,117,32101,3476,60.9,12.0,26696,6789,51.7,13.2,23450,5708,9.1,7.5,34375,13170,39.1,12.0,36875,23598,33.8,12.3,36008,12875,5.3,4.4,75865,13779,26.5,,,,22.9,,,,35.3,,,
8600000US48005,48005,ZCTA5 48005,1860,100,72157,5665,99.2,0.6,72157,5695,0.2,0.3,,,0.0,1.3,,,0.0,1.3,,,0.0,1.3,,,0.2,0.3,,,0.4,0.4,39688,96251,1.8,1.6,86161,28852,97.7,1.7,71740,5714,1.0,1.0,65250,78158,24.6,3.1,70000,9927,52.2,3.6,87539,10070,22.2,2.6,31696,13147,1492,82,76514,5045,37.3,4.5,80714,10269,62.7,4.5,75921,6080,83.4,4.9,81299,7046,10.7,3.1,48523,19566,5.9,4.6,73182,112550,368,93,32083,15100,47.8,12.5,18750,10460,41.6,11.7,14896,6522,6.3,5.8,120104,25931,52.2,12.5,41667,39848,44.0,11.3,34375,20110,8.2,6.1,72000,86102,26.9,,,,26.5,,,,22.0,,,
8600000US48006,48006,ZCTA5 48006,1371,64,54707,4923,98.8,1.3,54362,4460,0.0,1.8,,,0.1,0.3,,,0.3,0.5,,,0.0,1.8,,,0.7,1.1,,,0.1,0.3,,,0.9,1.2,59167,52652,98.5,1.4,54282,4353,0.0,1.8,,,26.5,3.2,72574,6408,54.5,4.3,57802,7410,19.0,2.3,37639,5168,1060,61,62024,7153,37.9,4.4,71333,11434,62.1,4.4,56333,5951,89.2,3.5,65417,9247,6.0,3.2,36667,31853,4.8,2.2,36563,18631,311,66,40139,15638,33.1,10.2,43750,22863,21.9,8.3,22727,5489,11.3,6.5,51875,13538,66.9,10.2,36250,13198,55.6,11.5,34375,11450,11.3,8.2,58250,93719,30.3,,,,27.3,,,,39.2,,,
8600000US48009,48009,ZCTA5 48009,8871,240,100473,6084,94.1,1.3,100893,5888,3.4,1.1,91786,24443,0.2,0.2,9750,2013,1.2,0.6,142159,209214,0.0,0.3,,,0.2,0.2,71250,134550,0.9,0.4,44205,55932,1.3,0.6,101607,14288,92.9,1.5,100859,6159,1.1,0.7,46136,20181,35.4,2.4,101380,10441,41.7,2.5,119647,15009,21.8,2.0,75224,10498,5501,164,127401,12997,45.9,3.0,160508,24750,54.1,3.0,111543,8639,83.8,3.7,153706,17339,12.6,3.1,68807,17219,3.6,1.7,121058,35094,3370,274,61263,7279,57.2,5.5,51371,4036,50.3,5.0,46731,10785,7.0,2.7,85492,36132,42.8,5.5,81958,15363,37.5,5.4,77554,16889,5.2,2.7,128333,43227,20.4,,,,21.0,,,,18.9,,,
8600000US48014,48014,ZCTA5 48014,1579,109,46976,3950,89.0,5.8,47416,6906,0.0,1.6,,,0.3,0.6,,,0.0,1.6,,,0.0,1.6,,,5.5,3.5,40846,6280,5.2,4.0,48269,28703,7.6,3.9,41125,3414,87.4,5.7,47625,7270,1.8,1.4,22946,1901,38.0,5.8,57736,8584,44.6,5.6,46250,8297,15.5,4.8,42621,11734,1147,91,50208,8558,48.4,7.7,38304,19531,51.6,7.7,57941,9039,70.9,7.1,59426,2440,19.4,5.8,23854,3050,9.8,5.2,41103,1992,432,105,31298,5781,49.3,14.0,22057,8399,47.2,13.9,21979,7771,2.1,1.7,56250,86707,50.7,14.0,44688,5099,40.5,13.0,43527,6967,10.2,9.5,46413,43725,23.2,,,,24.1,,,,17.6,,,
8600000US48015,48015,ZCTA5 48015,3764,206,33907,3506,85.9,4.6,36577,6478,11.8,4.1,27837,22687,0.2,0.4,,,1.4,1.7,19048,2941,0.0,0.7,,,0.0,0.7,,,0.8,1.0,16726,16882,1.5,1.2,25147,22298,84.4,4.8,37051,8675,2.8,2.1,20568,9848,33.1,4.3,52750,8262,38.0,4.6,34304,4664,26.1,2.9,22585,7657,1899,118,54828,8784,47.3,5.8,54403,11873,52.7,5.8,56250,9498,69.4,8.1,63423,3983,24.6,7.9,42663,20360,6.0,3.2,46250,35091,1865,242,19834,4414,57.1,7.2,17465,2464,54.3,7.0,17033,2556,2.8,1.9,27500,2734,42.9,7.2,30052,9152,39.4,7.4,26625,10644,3.5,2.6,46845,11202,24.4,,,,23.6,,,,24.2,,,
8600000US48017,48017,ZCTA5 48017,5498,204,51473,3032,94.4,2.0,53798,3671,1.6,1.3,18625,46135,0.1,0.2,,,2.2,1.2,40656,7927,0.0,0.5,,,0.5,0.5,30833,12847,1.1,0.9,41711,6981,1.6,1.0,26923,9827,93.5,2.1,53869,3647,2.2,1.4,47862,10370,37.8,3.1,67781,10557,38.8,2.7,55958,8017,21.3,1.9,34684,3075,3036,147,71296,6752,41.9,5.0,82886,5475,58.1,5.0,66550,7304,73.5,4.9,85196,5547,16.1,3.8,40985,5634,10.4,4.2,44306,18058,2462,257,38439,2159,51.5,5.3,33937,4801,44.2,4.8,33190,3052,7.3,3.3,48409,34077,48.5,5.3,40161,2967,41.5,4.9,38849,2678,7.1,3.0,49286,13624,23.5,,,,25.2,,,,21.1,,,
